evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 101488.7078521012 101637.8578521012 101488.7078521012 101637.8578521012 4.320015 -4.332151
2 360.5784941072 509.7284941072 360.5784941072 509.7284941072 -0.679985 0.667849
3 202.4403867577 351.5903867577 202.4403867577 351.5903867577 -0.058508 1.045411
5 689.2477098196 838.3977098196 202.4403867577 351.5903867577 -1.171120 1.265617
10 544.4097770252 693.5597770252 202.4403867577 351.5903867577 -0.837772 1.008421
15 1390.4718062999 1539.6218062999 202.4403867577 351.5903867577 -0.740441 -5.000000
20 1481.9448869416 1631.0948869416 202.4403867577 351.5903867577 -0.586118 -5.000000
25 3751.9280841581 3901.0780841581 202.4403867577 351.5903867577 -0.559509 5.000000
30 1349.8244568774 1498.9744568774 202.4403867577 351.5903867577 -1.262113 -5.000000
35 293.5824252414 442.7324252414 202.4403867577 351.5903867577 -3.220115 5.000000
39 0.8831225220 150.0331225220 0.8831225220 150.0331225220 -0.843760 -1.377210
40 0.6482835472 149.7982835472 0.6482835472 149.7982835472 -0.827650 -1.341738
41 0.6372075774 149.7872075774 0.6372075774 149.7872075774 -0.821923 -1.338595
42 0.6253727504 149.7753727504 0.6253727504 149.7753727504 -0.816068 -1.335169
43 0.6131947170 149.7631947170 0.6131947170 149.7631947170 -0.810251 -1.331559
44 0.6009551500 149.7509551500 0.6009551500 149.7509551500 -0.804524 -1.327828
45 0.5888564687 149.7388564687 0.5888564687 149.7388564687 -0.798943 -1.324028
46 0.5769300390 149.7269300390 0.5769300390 149.7269300390 -0.793548 -1.320163
47 0.5656034035 149.7156034035 0.5656034035 149.7156034035 -0.788332 -1.316351
48 0.5546470710 149.7046470710 0.5546470710 149.7046470710 -0.783324 -1.312530
49 0.5442320639 149.6942320639 0.5442320639 149.6942320639 -0.778527 -1.308754
50 0.5343892503 149.6843892503 0.5343892503 149.6843892503 -0.773915 -1.305035
51 0.5250692245 149.6750692245 0.5250692245 149.6750692245 -0.769501 -1.301359
52 0.5163709153 149.6663709153 0.5163709153 149.6663709153 -0.765292 -1.297772
53 0.5081794198 149.6581794198 0.5081794198 149.6581794198 -0.761233 -1.294231
54 0.5005689782 149.6505689782 0.5005689782 149.6505689782 -0.757358 -1.290775
55 0.4935523775 149.6435523775 0.4935523775 149.6435523775 -0.753665 -1.287426
56 0.4869549709 149.6369549709 0.4869549709 149.6369549709 -0.750097 -1.284094
57 0.4809292812 149.6309292812 0.4809292812 149.6309292812 -0.746693 -1.280883
58 0.4753768056 149.6253768056 0.4753768056 149.6253768056 -0.743430 -1.277742
59 0.4702904876 149.6202904876 0.4702904876 149.6202904876 -0.740297 -1.274690
60 0.4656445439 149.6156445439 0.4656445439 149.6156445439 -0.737298 -1.271706
61 0.4614189902 149.6114189902 0.4614189902 149.6114189902 -0.734416 -1.268819
62 0.4575827603 149.6075827603 0.4575827603 149.6075827603 -0.731647 -1.265984
63 0.4541194721 149.6041194721 0.4541194721 149.6041194721 -0.728986 -1.263238
64 0.4510152113 149.6010152113 0.4510152113 149.6010152113 -0.726425 -1.260534
65 0.4482378193 149.5982378193 0.4482378193 149.5982378193 -0.723960 -1.257920
66 0.4457749317 149.5957749317 0.4457749317 149.5957749317 -0.721589 -1.255380
67 0.4436379545 149.5936379545 0.4436379545 149.5936379545 -0.719313 -1.252889
68 0.4417091402 149.5917091402 0.4417091402 149.5917091402 -0.717106 -1.250501
69 0.4400898260 149.5900898260 0.4400898260 149.5900898260 -0.714977 -1.248132
70 0.4386945045 149.5886945045 0.4386945045 149.5886945045 -0.712927 -1.245846
71 0.4375840344 149.5875840344 0.4375840344 149.5875840344 -0.710952 -1.243591
72 0.4365849453 149.5865849453 0.4365849453 149.5865849453 -0.709036 -1.241440
73 0.4358203089 149.5858203089 0.4358203089 149.5858203089 -0.707189 -1.239330
74 0.4352588053 149.5852588053 0.4352588053 149.5852588053 -0.705400 -1.237261
75 0.4348955694 149.5848955694 0.4348955694 149.5848955694 -0.703673 -1.235238
76 0.4346553088 149.5846553088 0.4346553088 149.5846553088 -0.701996 -1.233276
77 0.4345880065 149.5845880065 0.4345880065 149.5845880065 -0.700374 -1.231356
80 0.4351578323 149.5851578323 0.4345880065 149.5845880065 -0.695799 -1.225886
85 0.4383518326 149.5883518326 0.4345880065 149.5845880065 -0.689021 -1.217576
90 0.4436231277 149.5936231277 0.4345880065 149.5845880065 -0.683112 -1.210135
95 0.4501791360 149.6001791360 0.4345880065 149.5845880065 -0.677926 -1.203486
100 0.4578048720 149.6078048720 0.4345880065 149.5845880065 -0.673309 -1.197437
evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 16722.5416080279 16871.6916080279 16722.5416080279 16871.6916080279 2.525086 -1.481342
2 831.7681554294 980.9181554294 831.7681554294 980.9181554294 -2.474914 3.518658
3 228.8187385340 377.9687385340 228.8187385340 377.9687385340 -3.061424 4.136636
5 984.6679304204 1133.8179304204 228.8187385340 377.9687385340 0.669377 4.740471
10 2502.7014372385 2651.8514372385 228.8187385340 377.9687385340 0.114470 5.000000
15 267.8396534395 416.9896534395 228.8187385340 377.9687385340 -2.937174 3.782033
20 241.6576378054 390.8076378054 228.8187385340 377.9687385340 -2.951147 3.751136
24 225.8384579066 374.9884579066 225.8384579066 374.9884579066 -2.961135 3.736219
25 219.3114135390 368.4614135390 219.3114135390 368.4614135390 -2.964883 3.728141
26 208.6677476806 357.8177476806 208.6677476806 357.8177476806 -2.970574 3.712668
27 192.5101726738 341.6601726738 192.5101726738 341.6601726738 -2.978598 3.684993
28 170.2332513238 319.3832513238 170.2332513238 319.3832513238 -2.987275 3.633477
29 148.8919263327 298.0419263327 148.8919263327 298.0419263327 -2.986878 3.545051
30 139.4894128170 288.6394128170 139.4894128170 288.6394128170 -2.973501 3.453514
35 142.3423013430 291.4923013430 139.4894128170 288.6394128170 -2.949995 3.376871
