evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 59855.4276466036 60004.5776466036 59855.4276466036 60004.5776466036 3.915173 -1.128337
2 26569.3959543861 26718.5459543861 26569.3959543861 26718.5459543861 2.925641 -1.821102
3 7260.1054979115 7409.2554979115 7260.1054979115 7409.2554979115 2.262826 1.121023
4 2965.8808494871 3115.0308494871 2965.8808494871 3115.0308494871 1.472675 -0.424492
5 470.1071283410 619.2571283410 470.1071283410 619.2571283410 -2.643860 3.305728
8 399.3267921378 548.4767921378 399.3267921378 548.4767921378 0.027859 -2.196082
10 38.7680408450 187.9180408450 38.7680408450 187.9180408450 -3.434141 3.765582
14 0.4817157331 149.6317157331 0.4817157331 149.6317157331 0.638724 1.497222
15 37296.0812655966 37445.2312655966 0.4817157331 149.6317157331 3.465626 -0.241915
20 7230.3724762594 7379.5224762594 0.4817157331 149.6317157331 2.590101 3.418378
25 3688.5510395254 3837.7010395254 0.4817157331 149.6317157331 1.793793 0.675432
30 336.5440617963 485.6940617963 0.4817157331 149.6317157331 -2.941941 0.377332
35 38.4100054415 187.5600054415 0.4817157331 149.6317157331 -0.864417 -0.719949
40 22332.4211335596 22481.5711335596 0.4817157331 149.6317157331 3.425466 3.765582
45 12011.1882328123 12160.3382328123 0.4817157331 149.6317157331 2.546112 0.642179
50 423.2255365302 572.3755365302 0.4817157331 149.6317157331 -0.406668 -3.007151
55 30089.8836993180 30239.0336993180 0.4817157331 149.6317157331 3.446079 1.547812
60 48411.0679470949 48560.2179470949 0.4817157331 149.6317157331 3.978332 1.966824
65 772.6175613300 921.7675613300 0.4817157331 149.6317157331 -0.864417 1.444020
70 603.4327919775 752.5827919775 0.4817157331 149.6317157331 0.467871 3.404876
75 252.5452036922 401.6952036922 0.4817157331 149.6317157331 -0.403898 0.642179
80 958.5359880461 1107.6859880461 0.4817157331 149.6317157331 -0.406668 2.145617
85 1573.0648042646 1722.2148042646 0.4817157331 149.6317157331 1.793793 2.784085
90 198.3709560589 347.5209560589 0.4817157331 149.6317157331 0.576632 2.699100
95 1047.9662445543 1197.1162445543 0.4817157331 149.6317157331 -0.480030 2.196972
100 3978.0099601891 4127.1599601891 0.4817157331 149.6317157331 1.372248 -1.783828
105 3650.0462571741 3799.1962571741 0.4817157331 149.6317157331 2.270773 3.654213
110 4215.9429605126 4365.0929605126 0.4817157331 149.6317157331 2.152570 2.429712
115 357.9184868806 507.0684868806 0.4817157331 149.6317157331 0.818388 4.029389
120 1361.2906130535 1510.4406130535 0.4817157331 149.6317157331 -0.359993 2.801954
evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 3468.4220811218 3617.5720811218 3468.4220811218 3617.5720811218 -0.714678 4.634117
2 2005.6483708772 2154.7983708772 2005.6483708772 2154.7983708772 -0.402220 3.533894
5 134467.6226169527 134616.7726169527 2005.6483708772 2154.7983708772 4.993771 -1.447104
6 31.7782233392 180.9282233392 31.7782233392 180.9282233392 -3.132335 2.471361
10 35.4425137355 184.5925137355 31.7782233392 180.9282233392 -0.249030 -0.125869
15 24168.8420218689 24317.9920218689 31.7782233392 180.9282233392 -4.566726 -4.579766
20 10308.0777929121 10457.2277929121 31.7782233392 180.9282233392 -4.833964 2.766636
25 3221.1030796759 3370.2530796759 31.7782233392 180.9282233392 1.369112 -1.167199
30 9.6721788365 158.8221788365 9.6721788365 158.8221788365 0.533120 0.846574
35 148371.2724229273 148520.4224229273 9.6721788365 158.8221788365 4.993771 -3.296436
40 144.5973997826 293.7473997826 9.6721788365 158.8221788365 -1.315711 -2.498795
45 1495.0286680359 1644.1786680359 9.6721788365 158.8221788365 -0.244307 -4.579766
50 11.9665647490 161.1165647490 9.6721788365 158.8221788365 0.181704 0.504245
55 3077.8176131155 3226.9676131155 9.6721788365 158.8221788365 -3.451239 -1.167199
60 29969.7063704477 30118.8563704477 9.6721788365 158.8221788365 2.858190 -3.365488
65 4162.2830602661 4311.4330602661 9.6721788365 158.8221788365 1.469373 -1.447104
70 281.9821383989 431.1321383989 9.6721788365 158.8221788365 0.319569 2.198005
75 841.8396566809 990.9896566809 9.6721788365 158.8221788365 0.410682 -2.123063
76 3.5597203022 152.7097203022 3.5597203022 152.7097203022 -1.205017 -1.497942
80 742.7497043032 891.8997043032 3.5597203022 152.7097203022 -0.812666 -4.036268
85 7308.5518470882 7457.7018470882 3.5597203022 152.7097203022 -3.451239 -4.172054
90 37.4901984491 186.6401984491 3.5597203022 152.7097203022 -0.483583 -1.654846
95 6309.6376659833 6458.7876659833 3.5597203022 152.7097203022 1.469373 -2.939190
100 274.1228059509 423.2728059509 3.5597203022 152.7097203022 -1.769946 0.786824
105 441.2387481262 590.3887481262 3.5597203022 152.7097203022 0.410682 -1.322041
110 1222.9508826680 1372.1008826680 3.5597203022 152.7097203022 -0.144858 -4.039137
115 61.5697419570 210.7197419570 3.5597203022 152.7097203022 -1.015736 -0.590480
119 0.6362788080 149.7862788080 0.6362788080 149.7862788080 -0.812439 -1.336941
120 2970.8766602024 3120.0266602024 0.6362788080 149.7862788080 1.294868 -1.296882
evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 52.6622006164 201.8122006164 52.6622006164 201.8122006164 0.005050 0.478992
