evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 285.3783133008 434.5283133008 285.3783133008 434.5283133008 -0.018706 -1.985791
5 16065.2435310543 16214.3935310543 285.3783133008 434.5283133008 2.883033 1.467412
7 0.8764388053 150.0264388053 0.8764388053 150.0264388053 -0.780760 -1.354644
10 3322.9507743349 3472.1007743349 0.8764388053 150.0264388053 -1.250345 4.430547
15 10.5784814572 159.7284814572 0.8764388053 150.0264388053 -1.521066 -1.444109
20 79.3974030436 228.5474030436 0.8764388053 150.0264388053 -0.780760 -0.407389
25 2.8593630056 152.0093630056 0.8764388053 150.0264388053 -1.516765 -1.072717
30 7.6536938374 156.8036938374 0.8764388053 150.0264388053 -0.780760 -1.562452
35 3.2066887953 152.3566887953 0.8764388053 150.0264388053 -1.459153 -1.318780
40 8.5042871569 157.6542871569 0.8764388053 150.0264388053 -0.780760 -1.013032
45 5.7002869828 154.8502869828 0.8764388053 150.0264388053 -0.780760 -1.522944
50 132.0551951988 281.2051951988 0.8764388053 150.0264388053 -2.024990 -1.562452
54 0.8635682560 150.0135682560 0.8635682560 150.0135682560 -0.912117 -1.386280
55 54.0961781298 203.2461781298 0.8635682560 150.0135682560 -0.253571 -1.463425
56 0.3983129757 149.5483129757 0.3983129757 149.5483129757 -0.639739 -1.174396
60 76.2383432379 225.3883432379 0.3983129757 149.5483129757 -0.886830 -2.211628
65 29.7922869842 178.9422869842 0.3983129757 149.5483129757 -1.073978 -1.906679
70 28.1985107646 177.3485107646 0.3983129757 149.5483129757 0.075549 -0.623068
75 10.3141169046 159.4641169046 0.3983129757 149.5483129757 -0.639739 -0.882401
80 86.1194928936 235.2694928936 0.3983129757 149.5483129757 -1.892995 -1.578526
85 40.3592608463 189.5092608463 0.3983129757 149.5483129757 -1.676923 -1.598502
90 16.1520403500 165.3020403500 0.3983129757 149.5483129757 -0.421817 -1.369847
95 72.5562174446 221.7062174446 0.3983129757 149.5483129757 -0.131773 -1.369847
100 155.3579337083 304.5079337083 0.3983129757 149.5483129757 -0.377146 -2.157054
evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 763.2782314328 912.4282314328 763.2782314328 912.4282314328 1.486766 2.332349
2 1.8696956171 151.0196956171 1.8696956171 151.0196956171 0.098744 -0.175080
5 75303.4777543833 75452.6277543833 1.8696956171 151.0196956171 4.613572 3.326671
10 2126.0410672202 2275.1910672202 1.8696956171 151.0196956171 0.951043 -1.955593
15 359.0917696107 508.2417696107 1.8696956171 151.0196956171 0.892806 4.316525
20 1.6938029835 150.8438029835 1.6938029835 150.8438029835 0.255134 0.472568
25 716.9995244452 866.1495244452 1.6938029835 150.8438029835 0.822636 -0.520776
30 67.9363849843 217.0863849843 1.6938029835 150.8438029835 0.255134 -0.477475
35 48.2930777189 197.4430777189 1.6938029835 150.8438029835 0.016468 0.472568
37 0.0407259839 149.1907259839 0.0407259839 149.1907259839 0.138218 0.059205
40 101.2296139426 250.3796139426 0.0407259839 149.1907259839 0.255134 1.351826
45 0.9203921612 150.0703921612 0.0407259839 149.1907259839 0.255134 0.436955
50 327.4738795190 476.6238795190 0.0407259839 149.1907259839 -0.833641 0.486237
55 10.5490230340 159.6990230340 0.0407259839 149.1907259839 0.404007 0.436955
60 3.8381977488 152.9881977488 0.0407259839 149.1907259839 0.255134 0.152736
65 60.2429159992 209.3929159992 0.0407259839 149.1907259839 0.460710 0.152736
70 0.1574906261 149.3074906261 0.0407259839 149.1907259839 0.255134 0.321441
75 81.1539581028 230.3039581028 0.0407259839 149.1907259839 0.138218 0.954094
80 10.2016320509 159.3516320509 0.0407259839 149.1907259839 0.243562 -0.002017
85 46.1607252532 195.3107252532 0.0407259839 149.1907259839 0.138218 -0.625695
88 0.0053398624 149.1553398624 0.0053398624 149.1553398624 -0.126359 -0.506392
90 147.5677870693 296.7177870693 0.0053398624 149.1553398624 -0.660841 -0.002017
95 741.1136890686 890.2636890686 0.0053398624 149.1553398624 0.982045 0.059205
100 147.5677870693 296.7177870693 0.0053398624 149.1553398624 -0.660841 -0.002017
evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 137.4084564982 286.5584564982 137.4084564982 286.5584564982 0.566869 2.430870
5 711.2617614783 860.4117614783 137.4084564982 286.5584564982 1.399167 1.990138
10 571.5109239711 720.6609239711 137.4084564982 286.5584564982 1.399167 2.266917
12 5.1380192299 154.2880192299 5.1380192299 154.2880192299 0.702581 1.932625
15 1355.9461685462 1505.0961685462 5.1380192299 154.2880192299 0.702581 -1.962543
19 1.3412755932 150.4912755932 1.3412755932 150.4912755932 0.702581 1.806576
20 0.9243717033 150.0743717033 0.9243717033 150.0743717033 0.890080 2.430870
25 3.0673383489 152.2173383489 0.9243717033 150.0743717033 0.578414 1.461168
30 171.7730815450 320.9230815450 0.9243717033 150.0743717033 1.170667 2.278806
35 85.1384430704 234.2884430704 0.9243717033 150.0743717033 0.881268 1.461168
40 2.6477920184 151.7977920184 0.9243717033 150.0743717033 0.890080 2.280867
45 686.3300421276 835.4800421276 0.9243717033 150.0743717033 1.448226 2.280867
50 352.7969664134 501.9469664134 0.9243717033 150.0743717033 0.890080 0.537406
55 53.6749489762 202.8249489762 0.9243717033 150.0743717033 1.105509 2.574483
60 270.5200177663 419.6700177663 0.9243717033 150.0743717033 0.881268 0.737027
65 32.5327688936 181.6827688936 0.9243717033 150.0743717033 0.890080 1.850827
